Chromosome	Start.bp	End.bp	mu.major	mu.minor	n_probes	length	tau	sigma.minor	sigma.major
1	148184116	148575325	1.0	0.85	810	91920914	3.2832781	0.00830533723072251	0.017394767447780412
1	148575325	153651773	1.0	1.0	4785	60704168	5.9320032	0.0037187855315154706	0.009747848564053361
1	153651773	157113678	3.0	1.0	1176	65037757	3.231943	0.01449752514448482	0.01553541487703869
1	157113678	158711079	1.0	1.0	1026	88600069	0.5611543	0.0032772389864384566	0.004395114177392911
1	158711079	160810481	1.0	0.0	5048	99259216	2.7727722	0.005741701282975174	0.010193449647841038
1	160810481	167774441	1.0	1.0	1214	21240748	1.9430454	0.002458214786236016	0.004368374171541322
1	167774441	169740096	4.0	1.0	865	82186441	0.40028149999999996	0.006567397455480117	0.008629867610714397
1	169740096	202974138	1.0	1.0	1034	46011147	3.7312583999999998	0.002452302657416983	0.031224706236279754
1	202974138	205157020	1.15	1.0	254	95594737	2.9780520999999998	0.00040685579721934763	0.0054249162119005545
1	205157020	212567603	1.0	1.0	5847	29710410	1.7674581999999999	0.005270310889660951	0.005298946590219087
1	212567603	216786790	1.0	0.9	4498	84837758	4.9374435	0.002725654367928376	0.013975144842574536
1	216786790	231013376	1.0	1.0	2261	59444805	0.9423754	0.0009075000567415783	0.004001000060641975
1	231013376	236647014	1.0	0.19999999999999996	379	53209642	2.8209909	0.0001558113368107876	0.017454661469073447
1	236647014	249250621	1.0	1.0	68	47024679	4.810970999999999	0.006830827982107149	0.0075864754262047075
2	1	15493156	2.0	1.0	1229	80495611	4.4593608	0.035038021272883794	0.0386621705349857
2	15493156	16336436	3.0	1.0	5171	90736952	4.7310333	0.0006357719378313171	0.004238530624020017
2	16336436	35052083	2.0	1.0	4864	26335731	5.2907114	0.002363785685299501	0.014931122338483665
2	35052083	36939503	2.0	1.15	1445	17271750	0.8242971	0.0013415822554323704	0.01478055958826224
2	36939503	37619169	1.15	0.3999999999999999	1748	33993714	0.6131175999999999	0.00011467738523468612	0.0037531340013964493
2	37619169	39404429	1.0	0.3999999999999999	4647	22389193	4.5824684	0.004471930032492641	0.007315353748072724
2	39404429	46067133	2.0	1.0	1907	36465615	3.2883077	0.009573615738365066	0.01576500529024639
2	46067133	47501990	2.0	0.09999999999999998	5447	45843648	5.4077060999999995	0.00014978120412652664	0.00032184469804970924
2	47501990	52991658	2.0	1.0	694	95798171	2.8658723	0.012923238188842532	0.02174292680679984
2	52991658	53694655	2.15	1.0	2223	41774945	0.2904477	0.0013592448376273827	0.00541040807065711
2	53694655	54100332	1.0	0.3999999999999999	4224	49540135	4.8422662999999995	0.00014938472503359503	0.01779738921869213
2	54100332	55444807	2.15	1.0	5809	90263788	2.5092176999999998	0.0028330477319942183	0.028774960394318184
2	55444807	56061207	2.15	0.95	470	67385806	4.4209765	0.006338536831429923	0.006545063034409326
2	56061207	58552577	2.0	0.95	1410	97608949	0.5318376	0.0035550933705647265	0.018701089023339324
2	58552577	58602999	0.95	0.0	4973	76148485	4.1412293	0.010888285857228782	0.01579149938597092
2	58602999	58924506	1.0	0.0	5492	15623898	1.086778	0.0004939140985201543	0.011745741448382164
2	58924506	74004902	2.0	1.0	5164	60124073	4.2205604	0.00036919116637510385	0.010560154415312623
2	74004902	76353026	3.0	2.0	1536	29258232	3.0780825999999997	0.012253472764033518	0.02691767841434334
2	76353026	76415128	3.0	3.0	5056	38657822	4.914701099999999	0.0024197630926743154	0.008864309904371844
2	76415128	80139084	3.0	2.0	3667	10457788	1.7088216999999999	0.0012292718352274747	0.01854474139861462
2	80139084	86557656	2.0	1.0	5794	13809901	3.443733	0.0010197013212115366	0.008320261786757568
2	86557656	87011811	2.0	1.1	2270	6156313	1.2402601	0.0020840252826992787	0.008035567870317317
2	87011811	87621627	2.0	1.0	1992	4021570	4.1787908	0.005009914905634963	0.031836872659241316
2	87621627	92321480	1.0	1.0	4901	84385082	2.4778726	0.0010107662078741603	0.036921039294970336
2	92321480	94761681	1.0	0.9	5519	62743993	3.5865541999999997	0.009340849808713867	0.01200245285580649
2	94761681	95598196	1.0	1.0	3111	68353215	2.0603488999999997	0.0036519204841431135	0.00644185514138943
2	95598196	99917331	2.0	1.0	4184	74438666	0.7111704999999999	9.559396888765198e-05	0.0009601907322103455
2	99917331	101213385	2.0	0.0	1024	51521655	4.0498975999999995	0.005141527080476782	0.023310527733922125
2	101213385	101518738	2.9	0.0	1054	20140529	2.701858	0.00040292339818013835	0.02217805173624784
2	101518738	102776839	2.0	0.0	1240	7298469	1.3244453	0.009111856393280736	0.024216509334233822
2	102776839	105826408	2.0	1.0	3694	59832316	5.0861506	0.00443196484568081	0.007300942908861071
2	105826408	108364142	3.0	2.0	233	5126925	2.4715351	0.0024357334732630414	0.007537400469962893
2	108364142	131525756	2.0	1.0	4061	76839387	0.7249894	0.0014798402166859897	0.00658411981170581
2	131525756	132368460	3.0	1.0	4106	96728824	5.9363031	0.0006460220234788647	0.029139868688035038
2	132368460	146340159	2.0	1.0	1733	80357706	4.9274572999999995	0.0062691920934105465	0.007637726963751648
2	146340159	146794622	2.0	1.2	5676	75743773	2.7876133	0.015014152456183157	0.03649710583417281
2	146794622	147066844	3.2	2.0	3592	92468426	0.2708953	0.0010201863689366336	0.016519212254516236
2	147066844	148267569	2.0	1.2	3278	892778	1.1041592	0.02565701124919785	0.028381134377240033
2	148267569	148850679	2.0	0.0	4299	45433882	4.641935699999999	0.010500303353500547	0.017397720253697617
2	148850679	149362265	2.0	1.2	2111	9215137	4.0167117999999995	0.0012514466202823884	0.03171040610766966
2	149362265	152799648	2.0	1.0	1784	12429752	5.0640161	0.004894257951470563	0.028434423271072085
2	152799648	154927202	1.0	0.19999999999999996	850	46151341	5.974003199999999	0.0001973075085911656	0.00774729519577437
2	154927202	155535295	2.0	1.0	3553	10281047	5.1862518	0.0015488485244604553	0.03908916464809587
2	155535295	157236151	2.0	0.95	5619	67662206	0.7362944	0.004376423600549804	0.01499051889246152
2	157236151	165657147	2.0	1.0	1666	9124839	1.8201710999999998	0.003134338175361888	0.04411538989423154
2	165657147	167283742	3.0	1.0	1230	57539895	0.9549498	0.00020509896588801564	0.008385184817978534
2	167283742	168461820	3.0	1.05	3251	96319676	3.3654408	0.008940067895163547	0.025302320544072852
2	168461820	170000043	2.0	1.05	3416	65872588	1.7243975	0.012191122117629826	0.013164045455729457
2	170000043	174477338	2.0	1.05	3153	48883073	0.14801	0.0035204213112630107	0.010697511476057315
2	174477338	176233700	2.0	1.05	1090	94030101	4.116420199999999	0.004934894590161436	0.0057648627252863205
2	176233700	176859843	2.0	1.0	2753	47934645	1.2006474	0.01665885490643911	0.029776685637570233
2	176859843	179511184	2.0	0.19999999999999996	3708	68856472	2.2450142	0.0016047594271106364	0.00327855313359249
2	179511184	182761691	3.0	0.19999999999999996	1645	55869228	5.395486	0.0028193323017393765	0.017965464405113884
2	182761691	187029209	2.0	0.19999999999999996	947	24621491	3.6812671999999997	0.004597293433437366	0.005463507021338857
2	187029209	188803548	2.0	1.0	2306	22297483	2.9900666	0.004728299162684186	0.005958519862878287
2	188803548	189867282	2.0	1.1	301	55827493	2.1503057	0.0014699084882745577	0.004974714983093293
2	189867282	193280976	2.0	0.9	3709	90896891	5.382508	6.0616598686627194e-05	0.007626082105087312
2	193280976	193600460	2.0	0.9	3264	61583821	4.4226521	0.002472361169423478	0.00666684312289228
2	193600460	206154268	2.0	1.0	5300	16806045	0.6171620999999999	0.0007644558072721708	0.00275474384078627
2	206154268	206739716	2.6	2.0	3765	95988532	1.1083684	0.007944713679703766	0.012568462689996045
2	206739716	210447377	2.0	1.0	1393	12703329	5.683786899999999	0.005299945419116365	0.02486947454614502
2	210447377	212563329	1.0	0.0	3025	44770	1.5628913	0.0011580923377408295	0.0011899186659205337
2	212563329	212976170	0.0	0.0	5764	94560841	4.0742802	0.0011403982228075154	0.011550380219520711
2	212976170	215056949	1.0	0.0	3569	41175692	4.0390412	0.003985320120621153	0.017722093411844803
2	215056949	216823711	2.0	1.0	2822	16612087	5.2947412	0.01051580734532646	0.010698131262819089
2	216823711	217790596	3.8	1.0	2377	76116112	0.2270808	0.00829814083245024	0.018194978451512744
2	217790596	217825085	2.0	1.0	2603	75647622	1.4264017	0.00460552572636	0.009886811114153222
2	217825085	218120443	2.9	1.0	4064	51403020	4.2065955	0.007801044773185577	0.011731361661366685
2	218120443	243199373	2.0	1.0	5476	12246404	3.2662025999999997	0.0010461297136026427	0.0072882719529762646
3	1	21431476	1.0	1.0	3847	49004458	1.223546	0.007382775699306275	0.012305364309279173
3	21431476	22195727	1.05	1.0	3115	86552755	0.074291	0.009779329333779103	0.01624882814407048
3	22195727	25011692	1.15	1.0	1827	53760796	4.0359237	0.012060396686056097	0.01690548218533123
3	25011692	25183467	1.1	1.0	120	1546891	0.0435594	0.000134814407353977	0.0019455777126625817
3	25183467	27884842	1.1	0.9	4891	11837974	4.873231	0.004756097565018657	0.005918476771709135
3	27884842	29282790	1.1	1.0	4722	33046548	1.0998241	0.0029199916984838947	0.009147473041271873
3	29282790	36681611	1.0	1.0	330	89551532	4.7617625	0.010565961032803366	0.025968117970743113
3	36681611	38197267	1.0	0.0	2148	98494248	2.7610908	0.008125443444498613	0.011521257629109532
3	38197267	50258888	1.0	1.0	1702	19972443	4.582135399999999	0.0012992915839253316	0.02045095434129099
3	50258888	50928812	1.0	0.9	4204	72935650	0.1164974	0.0036771624157325615	0.0039005219161484597
3	50928812	53331155	1.0	1.0	4786	93287305	5.417964	0.003735513118722634	0.008065514838240542
3	53331155	55038827	1.0	0.0	4135	22828706	2.4289688	0.00021068264712172522	0.014372147851309022
3	55038827	55649309	0.0	0.0	1660	16675258	2.2331016999999997	3.499414543092419e-05	0.015784923356435065
3	55649309	55754702	1.0	0.0	4	95061517	0.3749663	0.008503948687892705	0.01985199211426672
3	55754702	58696323	1.0	1.0	4576	54362280	1.0511708	0.0030827842436007865	0.01012122435348616
3	58696323	59324722	3.0	1.0	1071	72274882	4.4610009	0.014278526509039512	0.015496891842017172
3	59324722	67591265	1.0	1.0	5821	36161109	2.6847423999999998	0.01911813504188709	0.04551553638255203
3	67591265	69498956	1.0	0.0	2845	73438852	3.2832524	0.006705253237484382	0.010135126896339018
3	69498956	77018908	1.0	1.0	4062	5626496	3.1083865999999998	0.004689424216940617	0.006152311859711274
3	77018908	78194128	1.9	1.0	2088	55970394	2.4122211	0.005091069155917566	0.02580782580580362
3	78194128	84903398	1.0	1.0	2714	39806840	1.0598467999999999	0.002876709884508763	0.030459216810256835
3	84903398	85156537	1.0	0.0	3137	11415769	2.4112619	0.006438504879801361	0.0137943729027012
3	85156537	87565151	1.0	1.0	1945	23292823	4.471322799999999	0.005564679002984192	0.018571391573938535
3	87565151	90123787	1.3	1.0	3256	67588908	5.405223599999999	0.007216127805332786	0.03240811812719939
3	90123787	91567770	1.0	1.0	3261	68637039	3.4863934	0.0014892110740529275	0.015635787243191566
3	91567770	91626739	3.0	1.0	4539	38736434	4.0149072	0.0010324734121594937	0.02041874490689137
3	91626739	92346646	1.0	0.0	4466	66548921	1.0243665	0.0018791125115052878	0.0036151783050856028
3	92346646	97384315	3.0	1.0	2984	55280837	4.5018737	0.0009739628808647053	0.0047844387536694994
3	97384315	127348066	1.0	1.0	253	3802072	3.1375389	0.015249337599507716	0.01611708478947189
3	127348066	129037491	1.0	0.19999999999999996	1813	89365747	2.0560581	0.009636422781108692	0.0167999658593081
3	129037491	140092727	1.0	1.0	5107	36757871	1.4586761	0.0006953825733325405	0.016681416228636017
3	140092727	141038949	2.0	1.0	3448	29111584	1.048516	0.007179828646144227	0.010598186082155023
3	141038949	142011578	1.0	1.0	1822	55499676	1.9245225	0.0010372301156683027	0.004467546104660126
3	142011578	142142363	1.0	0.0	1156	84622235	0.965151	0.003717443629458283	0.017340484939966733
3	142142363	149341968	1.0	1.0	1998	48824081	2.9927224999999997	0.016030416500532874	0.03115104560964255
3	149341968	153988820	2.0	1.0	1184	1000050	1.2996598	0.0042504848754043615	0.010222092068587763
3	153988820	154405020	1.0	0.0	1854	19222513	4.8820744	0.002351826136529534	0.011729773071377616
3	154405020	157450046	1.0	0.0	203	71413267	2.0122614	0.0024443420055650245	0.008889963486987293
3	157450046	165670109	1.0	1.0	5521	5714467	2.4509274999999997	0.0039389337230185326	0.013458793517470794
3	165670109	165799728	1.0	0.85	2508	11839014	2.7800461999999997	0.001793490495758444	0.011964246914385843
3	165799728	165889690	1.05	0.85	5779	45415386	2.6565255999999997	0.004997988073555907	0.007757459846770077
3	165889690	168356854	1.0	0.85	2056	32693412	5.3098434999999995	0.007419413283120699	0.01268152160166289
3	168356854	180950076	1.0	1.0	1084	27576390	4.0120755	0.007556369522870119	0.019665022702968517
3	180950076	181456674	1.1	1.0	5840	60907153	2.5156563999999997	0.0020106911029026185	0.004236935371468822
3	181456674	190211767	1.0	1.0	4305	32777337	3.8841542	0.009599788387439093	0.019285095330046364
3	190211767	190386706	1.0	0.9	3637	10910606	2.3046653	0.0013439200810120215	0.0042730438378509
3	190386706	198022430	1.0	1.0	2202	67201685	2.8323202	0.006833664147541503	0.011118936755189506
4	1	306741	1.0	1.0	1376	20200524	0.5437368	0.0016653279591219152	0.008248071778006008
4	306741	4596904	4.0	1.0	3887	57453187	5.7443613	0.007200616384676843	0.018484478324235377
4	4596904	4644706	1.0	1.0	5461	32315821	1.0048529	0.0006768038654841323	0.02345306558692936
4	4644706	4908963	3.0	1.0	1969	36522319	1.1864556	0.006036617317181576	0.03139702868161801
4	4908963	8779983	1.0	1.0	2996	9347442	0.1167999	0.0012430593575468393	0.030216334411613772
4	8779983	8889272	3.0	1.0	5736	76112600	4.971077	0.011546026766165993	0.022130503004712112
4	8889272	10549310	1.0	1.0	3674	82960976	0.9534069	0.0024623722663835914	0.009690168547529635
4	10549310	12232391	1.1	1.0	2621	68707868	3.6857704	0.000646570382328134	0.008213895190268269
4	12232391	14275441	1.0	1.0	1886	76313639	2.9942444999999998	0.008954435425472513	0.010531125653323852
4	14275441	16745958	1.0	0.9	3312	37376787	1.4997243999999998	0.0004958390391300356	0.001230906450930699
4	16745958	18379709	2.7	1.0	5331	59088432	3.0015853	0.009673468267679076	0.0219015139173587
4	18379709	24493428	1.0	0.9	4946	34072200	4.7211679	0.0013634944639461266	0.012785234520883043
4	24493428	24698337	2.7	1.0	4172	19833187	2.3754246	0.0005997615675332678	0.007544073556968884
4	24698337	25488676	3.0	1.0	5057	29203589	4.0784614999999995	0.00172885465734972	0.005800924620282628
4	25488676	44884303	1.0	1.0	3415	96235645	5.5995712	0.00318455225209211	0.025084792154780333
4	44884303	47381401	4.0	1.0	4037	67657988	5.7632278	0.014808366669717974	0.022835700902797813
4	47381401	47382423	4.0	0.9	651	31986814	4.2170419	0.009814120493647847	0.010977954751843553
4	47382423	54636831	4.0	1.0	5745	8833985	1.7032186	0.0059268682021695355	0.009551921296550824
4	54636831	55079071	1.0	1.0	5552	80625995	2.4066877	0.003074273116830437	0.02001821589045445
4	55079071	58152834	1.8	1.0	112	91497620	1.4018232	0.0002976045573300898	0.0035659894582048273
4	58152834	66504344	1.0	1.0	5725	62924013	2.7524545	0.0012493430618045669	0.013336126964425613
4	66504344	66520674	2.0	1.0	1753	95135718	4.6797433999999996	0.004873967194226565	0.019672387460184657
4	66520674	69837883	1.0	1.0	3534	85431178	0.5089462	0.003188688315226457	0.0033026007174365496
4	69837883	73551315	1.0	0.19999999999999996	5038	91206633	5.5244197999999995	0.0009808461677522026	0.0022606635791139963
4	73551315	74618937	3.0	0.19999999999999996	4592	10201136	1.8991574	0.011051066988488034	0.045562773626795415
4	74618937	78055905	3.0	1.0	699	70754203	5.9496058	0.00015601418510544118	0.020896278548979734
4	78055905	85851690	1.0	1.0	5565	10012322	5.9780828999999995	0.003760776289390208	0.0038157360436262013
4	85851690	89130407	1.8	1.0	1204	44019312	3.4746553	0.00015541981536216834	0.0023558150111081563
4	89130407	92255056	1.0	1.0	4449	14357745	3.3587612	0.009447389686628518	0.012466355635698752
4	92255056	93529535	1.0	0.19999999999999996	5285	49117937	2.1229035	0.005221899956638242	0.037219006607683375
4	93529535	99141634	1.0	1.0	2829	93984643	0.7932707	0.0006009764041544186	0.004436737340705901
4	99141634	101411855	1.0	0.0	4856	99180755	0.004639	0.0003063004606204392	0.0034909146421116593
4	101411855	110621266	1.0	1.0	5444	51318355	5.0520401	0.002133943823379826	0.023353352390907182
4	110621266	111877044	1.0	0.19999999999999996	5343	41662054	2.6205065	0.019745238844321458	0.03008768119812018
4	111877044	113356514	1.2	0.19999999999999996	323	35950692	1.6598304	0.002635200223464578	0.014282778428608835
4	113356514	117582816	1.2	1.0	2034	41284419	0.2937267	0.004522471893521078	0.006388700801603863
4	117582816	124370366	1.0	1.0	5382	10869494	5.3199527	0.005615232120765141	0.007570186076742924
4	124370366	125485573	1.0	0.9	4800	4689994	0.1036903	0.003952946861335736	0.010059392831693619
4	125485573	126438818	1.0	1.0	2339	76862925	0.5622129	0.001779695654477983	0.005103364096552282
4	126438818	128534571	1.0	0.0	3266	95265934	2.225352	0.011448819893943118	0.01360895242966814
4	128534571	130588372	1.0	0.0	3692	13834938	3.2463305	0.0011229578558532441	0.00866593262148732
4	130588372	131735902	1.0	0.0	5863	48216635	3.8657019	0.0010900030684914787	0.01330303256544062
4	131735902	131781910	1.0	0.0	5588	92127124	3.8459301	0.0011019198049953545	0.003552278390169387
4	131781910	132376702	1.0	0.0	3551	64539164	5.8473109999999995	0.00016464012200295396	0.0074099950640816375
4	132376702	144280064	1.0	1.0	648	94436160	0.4803481	0.001826146508440447	0.004851484788175692
4	144280064	144972704	1.1	1.0	72	92566989	3.7279955	0.0033341343324035963	0.0034123720490298604
4	144972704	156829961	1.0	1.0	4119	74801626	4.5353284	0.006556095118009192	0.015209209606254834
4	156829961	158794151	1.2	1.0	3292	91857300	1.7361908	0.0028611294531299502	0.005940753341533466
4	158794151	161274713	1.0	1.0	4303	40987814	3.8361335	0.002651997132304823	0.0031332408549053295
4	161274713	166490745	1.1	1.0	4073	19390983	3.3109555	0.005177126759258964	0.011227122240025538
4	166490745	168082465	1.3	1.0	1850	16954528	4.056709	0.0006756299640894743	0.0016030762578381702
4	168082465	171203489	1.1	1.0	160	25350768	3.0561103999999997	0.00017680766480555294	0.014906421653526632
4	171203489	184937375	1.0	1.0	4450	55951170	5.5680714	0.008802166932851975	0.0257467825953405
4	184937375	185660753	1.8	1.0	5770	48942974	1.9485352999999999	0.01985655223910146	0.0527373051646283
4	185660753	186632012	1.0	1.0	1565	30796064	3.4596668999999998	0.009698852378304769	0.021894226950918482
4	186632012	188191186	1.0	0.9	1260	6592040	4.6087429	5.671211536974722e-05	0.012859268356385473
4	188191186	191154276	1.0	1.0	4042	67979481	2.3733315999999998	0.0016380260254691872	0.002818599489838851
5	1	332920	1.0	0.0	4513	51538004	3.1347894999999997	0.0010710618428310108	0.014506606050323922
5	332920	1328592	1.0	0.0	4821	84793773	0.9691455	0.002935362091985604	0.02142633885114599
5	1328592	9136127	1.0	0.0	788	71243328	2.5561436	0.0008153279340631065	0.015630930593484516
5	9136127	10772211	1.2	0.0	1954	79060234	3.7500476999999997	0.00014736272173058266	0.006331890931772192
5	10772211	23127083	1.0	0.0	694	42555591	4.7463403	0.015633377951156307	0.017163176201548908
5	23127083	24927832	1.0	0.0	3617	74607784	2.6073389	0.003851478849520879	0.009569488490412406
5	24927832	45825841	1.0	0.0	3825	3291448	5.1160153	0.011951728595519868	0.02881016134746317
5	45825841	47502015	0.0	0.0	2613	55626168	4.464059799999999	5.658714704798184e-05	0.0020864916380419992
5	47502015	55282948	1.0	0.0	5654	41265219	3.3383561999999998	0.0020723010991714865	0.007748422677274818
5	55282948	55647699	1.0	0.0	4417	81361570	3.9565884999999996	0.0023192187183056832	0.004416173125292068
5	55647699	72302715	1.0	0.0	1643	35612778	2.475125	0.0013305809491921362	0.006021193491706893
5	72302715	72391064	1.0	0.0	518	56882887	5.2707111	0.00855952233187068	0.009921285340464952
5	72391064	72444001	1.0	0.0	4345	87546353	3.8091144	0.0010785973736372727	0.002555999998767911
5	72444001	72921490	3.0	0.0	366	17532085	3.2157697	0.002908444469877875	0.005739732677338497
5	72921490	73996242	2.55	0.0	2283	45537065	0.037096699999999996	0.00043606719797234983	0.029365632767485172
5	73996242	78978925	3.0	0.0	2472	83520811	1.9683065	0.007528286814554296	0.009596239368065836
5	78978925	84631619	1.0	0.0	109	19200366	5.2054615	0.004152509278127196	0.00903694244730927
5	84631619	84728804	0.0	0.0	3006	43294571	5.8090601	0.003930277197332852	0.012688760271035316
5	84728804	85621366	1.0	0.0	2118	75741347	2.5538301	0.003755075739767	0.024002539346508214
5	85621366	86136917	1.1	0.0	490	20797313	1.6504539	0.0010819831168669115	0.04530113979415407
5	86136917	90448710	1.0	0.0	2915	26662525	5.6610464	0.008332275090958558	0.018396348386877412
5	90448710	90963001	1.0	0.0	4603	45492542	5.433630099999999	0.0016028549545397278	0.01724481329993684
5	90963001	91723563	1.0	0.0	391	79198741	3.35953	0.005290063253850662	0.018776655021237265
5	91723563	98473448	3.0	0.0	495	36053465	3.3263732	0.003466211163102583	0.007873260598357463
5	98473448	101620343	1.0	0.0	2698	19739205	5.7321536	0.004002881230775565	0.0057230441108547725
5	101620343	102066793	1.0	0.0	1725	28362888	5.3700809	0.005528123695088485	0.01236167936609373
5	102066793	103465546	1.0	0.0	5125	73894097	3.7349397	0.001237030728234773	0.012376415915361318
5	103465546	108024975	1.0	0.0	4591	13479719	5.4925301	0.004867070917152856	0.00966043774093686
5	108024975	110705084	1.0	0.0	447	73284884	4.2282553	0.0056034445463186	0.006784768705575795
5	110705084	111404564	1.0	0.0	223	9682559	4.3745047999999995	0.002937718973345047	0.009090815903553534
5	111404564	111957749	1.0	0.0	107	13177344	0.9566142999999999	0.005022269575740599	0.005289552402795785
5	111957749	112909330	1.0	0.0	4948	78710880	4.1903684	0.0014357561604423574	0.01897987878292284
5	112909330	114118274	0.0	0.0	4681	42250239	4.6181206	0.002798795338562558	0.0054258741044074365
5	114118274	114771722	1.0	0.0	1634	90528363	3.4117295999999997	0.0032427593310485835	0.015646600800167144
5	114771722	117037286	1.0	0.0	3312	50402516	4.8062338	0.0044825577660111	0.03673929595847574
5	117037286	118056285	1.0	0.0	5260	31899031	4.0501004	0.0014416581363208628	0.0027469576724783386
5	118056285	124493072	1.0	0.0	3977	5043886	2.2810553	0.001774155826259838	0.005780660643867186
5	124493072	126240505	1.0	0.0	239	93001627	3.2262291999999997	0.001808831330531263	0.005792011912030357
5	126240505	135358120	1.0	0.0	3991	43373333	1.4434919	0.0004682247106309855	0.010924037257544053
5	135358120	135663905	2.0	0.0	1136	23242683	2.2103547	0.004640357263835127	0.006867885950976894
5	135663905	145454389	1.0	0.0	3858	42241288	2.1026388	3.2593756640439584e-05	0.008673816221798657
5	145454389	146019479	3.0	0.0	2868	48019292	1.8570422	0.0006573321422935016	0.0032008055852590284
5	146019479	146250985	6.0	0.0	1444	43486965	0.39040359999999996	0.008737547823350575	0.01250142687292592
5	146250985	146621886	4.0	0.0	1131	27573093	3.0773943999999998	0.002978678087795559	0.008344216028411917
5	146621886	146654587	5.0	0.0	3747	1310067	4.8392767999999995	0.0006925711084310932	0.007046688877246767
5	146654587	147285449	4.0	0.0	4549	69645483	4.6022132	0.0015789719403180877	0.02244302269681296
5	147285449	148675202	4.6	0.0	5627	5047819	5.1593445	0.003357717813297229	0.011359948222411206
5	148675202	150433747	4.0	0.0	1901	23917904	4.2974999	0.005968255424254823	0.008258601292428011
5	150433747	151846473	1.0	0.0	4024	70053322	4.1719075	0.008321537322204968	0.013979553943928946
5	151846473	151951309	0.0	0.0	5402	46452485	5.2979505	0.009088783170498807	0.014613313202021458
5	151951309	154998517	1.0	0.0	4132	95039954	1.5138437	0.00373717376516651	0.012280402723899533
5	154998517	157685291	0.0	0.0	779	16093852	2.8201869999999998	0.007846188924370043	0.009105926429143289
5	157685291	160202499	0.0	0.0	5764	84305904	1.7790108999999998	0.014529919732325893	0.05245050055583775
5	160202499	160519647	0.0	0.0	1961	92182839	2.1435883	0.0022330207499176363	0.009959848642662292
5	160519647	163547655	0.0	0.0	4174	78533818	2.1108322	0.007904743426972114	0.026319002798500444
5	163547655	163779565	0.0	0.0	3272	28451464	4.947083699999999	0.0009111168677534516	0.0069763144310351
5	163779565	169964483	1.0	0.0	3781	80571297	4.6962454	0.0022437156491907128	0.015086888347316496
5	169964483	170851300	1.0	0.0	3114	98582947	3.1454798999999998	0.00884244732850116	0.009268415538213703
5	170851300	175013835	1.0	0.0	4456	82668535	3.7846458999999997	0.002264813045766691	0.0027475726460345256
5	175013835	176220749	3.0	0.0	1856	86914762	0.3487473	0.0021577928915821882	0.01100704894694835
5	176220749	177723757	1.0	0.0	715	89291815	2.2771662	0.0020465737192378827	0.007510476861654025
5	177723757	179385162	0.09999999999999998	0.0	888	22308443	5.0726493	0.007641876961537984	0.017582160446724972
5	179385162	180915260	1.0	0.0	3826	97424035	4.093151499999999	0.0035256986825785426	0.010290730104006694
6	1	19748986	1.0	1.0	1149	67039001	4.0163551	0.0034658048730499104	0.00665556815840963
6	19748986	19872285	1.0	0.19999999999999996	183	22509967	2.2645972	0.0022535547772858052	0.004287470011758527
6	19872285	20169505	1.0	1.0	4105	77889146	3.4841626999999997	0.0029905935399972667	0.016676071497946122
6	20169505	20583127	1.0	0.85	4990	57015197	1.0511546	0.002859903216418606	0.006467554689580017
6	20583127	21153412	1.05	1.0	4971	58015250	4.4620451	0.0032346023236042567	0.007098352597024817
6	21153412	23291050	1.0	0.85	4200	41995910	3.019043	0.0033536824567195027	0.00871804090962884
